"OEM","Slice","GroundTruth","ExpectedCategory","ExpectedSystem","GoodTokens","CorrectClass","FailReason","Total","FirstDesc","FirstBrand","FirstCategory","AftermarketCount","OEMNumbersCount","HasSupersession","ReplTotal","ElapsedS","IsTimeout"
"92101-DW010","real_hk_seeded","exists","Headlight - Front Left","Electrical","headlight,front,left","TP","correct-but-poor: only 0 replacements (AM=0 OEMxRef=0 sup=False)","1","Headlight (Front Right)","Hyundai / KIA","Electrical / Headlight Assembly","0","0","False","0","4.32","False"
"87620-AT390","real_hk_coarse","exists","Mouldings & Trim","Body","mouldings,trim","FP","WRONG-PART: expected 'mouldings,trim' but got 'Outside Mirror'","1","Outside Mirror","Hyundai / KIA","/ Outside Mirror","0","0","False","0","3.17","False"
"20920-2GH07","real_hk_unseeded","exists","Unknown","Unknown","","FN","no results","0","","","","0","0","False","0","0.6","False"
"25100-2M020","real_hk_seeded","exists","Water Pump","Cooling","water,pump","TP","correct-but-poor: only 0 replacements (AM=0 OEMxRef=0 sup=False)","2","Water Pump (Front Left)","Hyundai / KIA","Cooling / Water Pump","0","0","False","0","2.18","False"
"39210-2S101","real_hk_seeded","exists","Oxygen Sensor","Electrical","oxygen,sensor","TP","correct-but-poor: only 0 replacements (AM=0 OEMxRef=0 sup=False)","2","SENSOR ASSY - OXYGEN","Hyundai / KIA","Electrical / Oxygen Sensor","0","0","False","0","3.23","False"
"92730-F9000","real_hk_coarse","exists","Lighting - Headlights","Electrical","lighting,headlights","FP","WRONG-PART: expected 'lighting,headlights' but got 'HOLDERASSY - BULB'","1","HOLDERASSY - BULB","Hyundai / KIA","Electrical / Lighting - Headlights","1","0","False","1","2.23","False"
"20920-2SH02","real_hk_unseeded","exists","Unknown","Unknown","","FN","no results","0","","","","0","0","False","0","1.08","False"
"92401-CV050","real_hk_seeded","exists","Tail Light - Rear Left","Electrical","tail,light,rear,left","TP","correct-but-poor: only 0 replacements (AM=0 OEMxRef=0 sup=False)","1","Combination Rearlight for Hyundai Staria (2021+)","Hyundai","/ Combination Rearlight","0","0","False","0","3.17","False"
"71110-ATA00","real_hk_coarse","exists","Bumper","Body","bumper","FP","WRONG-PART: expected 'bumper' but got 'PANEL ASSY - PILLAR OUTER,LH'","1","PANEL ASSY - PILLAR OUTER,LH","Hyundai / KIA","Body / Bumper","0","0","False","0","2.22","False"
"09473-J9000","real_hk_unseeded","exists","Unknown","Unknown","","FN","no results","0","","","","0","0","False","0","0.52","False"
"92101-G5220","real_hk_seeded","exists","Headlight - Front Left","Electrical","headlight,front,left","FP","WRONG-PART: expected 'headlight,front,left' but got 'Headlight'","1","Headlight","Hyundai / KIA","Electrical / Headlight Assembly","0","0","False","0","5.16","False"
"66920-P1000","real_hk_coarse","exists","Rear Body / Trunk","Body","rear,body,trunk","FP","WRONG-PART: expected 'rear,body,trunk' but got 'HINGE ASSY - HOOD,RH'","1","HINGE ASSY - HOOD,RH","Hyundai / KIA","Body / Rear Body / Trunk","0","0","False","0","2.31","False"
"05203-DW410","real_hk_unseeded","exists","Unknown","Unknown","","FN","no results","0","","","","0","0","False","0","0.52","False"
"58101-L1A70","real_hk_seeded","exists","Brake Pad Set - Front","Brakes","brake,pad,set,front","TP","correct-but-poor: only 0 replacements (AM=0 OEMxRef=0 sup=False)","2","Brake Pad Set, disc brake for Hyundai Sonata (2020+)","Hyundai","Brakes / Brake Pad Set","0","0","False","0","3.34","False"
"97853-AO200","real_hk_coarse","exists","Air Conditioning & Heating","HVAC","air,conditioning,heating","TP","correct-but-poor: only 0 replacements (AM=0 OEMxRef=0 sup=False)","2","Dryer, air conditioning","Hyundai / KIA"," / Dryer, air conditioning","0","0","False","0","3.25","False"
"09149-R5000","real_hk_unseeded","exists","Unknown","Unknown","","FN","no results","0","","","","0","0","False","0","0.54","False"
"92101-D5040","real_hk_seeded","exists","Headlight - Front Left","Electrical","headlight,front,left","TP","correct-but-poor: only 0 replacements (AM=0 OEMxRef=0 sup=False)","1","Headlight (Rear Left)","Hyundai / KIA","Electrical / Headlight Assembly","0","0","False","0","3.29","False"
"92102-S9130","real_hk_seeded","exists","Headlight - Front Right","Electrical","headlight,front,right","FP","WRONG-PART: expected 'headlight,front,right' but got 'LAMP ASSY - HEAD,RH'","2","LAMP ASSY - HEAD,RH","Hyundai / KIA","Electrical / Headlight Assembly","0","0","False","0","2.29","False"
"76111-P1000","real_hk_coarse","exists","Window Regulator","Body","window,regulator","FN","no results","0","","","","0","0","False","0","3.27","False"
"99241-P1250","real_hk_unseeded","exists","Unknown","Unknown","","FN","no results","0","","","","0","0","False","0","0.47","False"
"25310-R0150","real_hk_seeded","exists","Radiator","Cooling","radiator","TP","correct-but-poor: only 0 replacements (AM=0 OEMxRef=0 sup=False)","2","RADIATOR ASSY","Hyundai / KIA","Engine / Fuel Injector","0","0","False","0","3.22","False"
"92402-Q5510","real_hk_seeded","exists","Tail Light - Rear Right","Electrical","tail,light,rear,right","TP","correct-but-poor: only 0 replacements (AM=0 OEMxRef=0 sup=False)","1","Combination Rearlight","Hyundai / KIA","/ Combination Rearlight","0","0","False","0","4.16","False"
"21354-3N450","real_hk_coarse","exists","Crankshaft & Bearings","Engine","crankshaft,bearings","FP","WRONG-PART: expected 'crankshaft,bearings' but got 'Gasket, timing case'","2","Gasket, timing case","Hyundai / KIA"," / Gasket, timing case","0","0","False","0","2.22","False"
"80610-L3010","real_hk_unseeded","exists","Unknown","Unknown","","FN","no results","0","","","","0","0","False","0","0.46","False"
"97134-R0000","real_hk_seeded","exists","Cabin Air Filter","HVAC","cabin,air,filter","TP","correct-but-poor: only 0 replacements (AM=0 OEMxRef=0 sup=False)","2","Filter, interior air","Hyundai / KIA","HVAC / Cabin Air Filter","0","0","False","0","2.13","False"
"54650-CH300","real_hk_seeded","exists","Shock Absorber - Front","Suspension","shock,absorber,front","TP","correct-but-poor: only 0 replacements (AM=0 OEMxRef=0 sup=False)","1","Shock Absorber","Hyundai / KIA","Suspension / Shock Absorber / Strut","0","0","False","0","3.22","False"
"39118-2B987","real_hk_coarse","exists","Sensors & Control","Electrical","sensors,control","FN","no results","0","","","","0","0","False","0","4.1","False"
"77121-P1000","real_hk_unseeded","exists","Unknown","Unknown","","FN","no results","0","","","","0","0","False","0","0.49","False"
"92102-S9550","real_hk_seeded","exists","Headlight - Front Right","Electrical","headlight,front,right","FP","WRONG-PART: expected 'headlight,front,right' but got 'Headlight'","1","Headlight","Hyundai / KIA","Electrical / Headlight Assembly","0","0","False","0","3.21","False"
"58411-R5000","real_hk_seeded","exists","Brake Disc - Rear","Brakes","brake,disc,rear","TP","correct-but-poor: only 0 replacements (AM=0 OEMxRef=0 sup=False)","1","Brake Disc","Hyundai / KIA","Brakes / Brake Disc","0","0","False","0","3.22","False"
"95560-CV000","real_hk_coarse","exists","Sensors & Modules","Electrical","sensors,modules","FP","WRONG-PART: expected 'sensors,modules' but got 'UNIT ASSY - WIRELESS CHARGING'","2","UNIT ASSY - WIRELESS CHARGING","Hyundai / KIA","Electrical / Sensors & Modules","0","0","False","0","3.16","False"
"99250-S9100","real_hk_unseeded","exists","Unknown","Unknown","","FN","no results","0","","","","0","0","False","0","1.1","False"
"92402-R0010","real_hk_seeded","exists","Tail Light - Rear Right","Electrical","tail,light,rear,right","TP","correct-but-poor: only 0 replacements (AM=0 OEMxRef=0 sup=False)","1","Combination Rearlight (Front Right)","Hyundai / KIA","/ Combination Rearlight","0","0","False","0","5.14","False"
"96122-CV000","real_hk_coarse","exists","Battery","Electrical","battery","FP","WRONG-PART: expected 'battery' but got 'JACK ASSY - USB'","2","JACK ASSY - USB","Hyundai / KIA","Electrical / Battery","0","0","False","0","2.25","False"
"99230-CV010","real_hk_unseeded","exists","Unknown","Unknown","","FN","no results","0","","","","0","0","False","0","0.7","False"
"25620-L0010","real_hk_seeded","exists","Thermostat","Cooling","thermostat","FP","WRONG-PART: expected 'thermostat' but got 'WARMER - A.T.F'","2","WARMER - A.T.F","Hyundai / KIA","Engine / Fuel System","0","0","False","0","4.23","False"
