"OEM","Slice","GroundTruth","ExpectedSystem","ExpectedCategory","GoodTokens","ExpectedMake","Chassis","Prefix5"
"05203-R0400","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","R0","05203"
"09149-H9060","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","H9","09149"
"77004-R5011","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","R5","77004"
"99240-R0050","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","R0","99240"
"77003-R5011","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","R5","77003"
"99150-P2000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","P2","99150"
"17925-04200","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","04","17925"
"09527-AL300","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","AL","09527"
"99140-L3000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","L3","99140"
"99240-P1250","real_hk_unseeded","exists","Unknown","Unknown","","Kia","P1","99240"
"20920-08S00","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","08","20920"
"99216-P2000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","P2","99216"
"77980-L2000","real_hk_unseeded","exists","Unknown","Unknown","","Kia","L2","77980"
"12291-05123","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","05","12291"
"99220-CV010","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai","CV","99220"
"09149-N9000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai","N9","09149"
"77121-L2000","real_hk_unseeded","exists","Unknown","Unknown","","Kia","L2","77121"
"10144-06203","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","06","10144"
"20910-2SH02","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai","2S","20910"
"99120-CV100","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai","CV","99120"
"05203-R5410","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","R5","05203"
"99240-P1200","real_hk_unseeded","exists","Unknown","Unknown","","Kia","P1","99240"
"05203-H9210","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","H9","05203"
"80610-P1550","real_hk_unseeded","exists","Unknown","Unknown","","Kia","P1","80610"
"99240-L3000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","L3","99240"
"12492-04089","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","04","12492"
"09474-4E100","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","4E","09474"
"99147-J6000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","J6","99147"
"77111-R0000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","R0","77111"
"09110-J5000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","J5","09110"
"77920-T1000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","T1","77920"
"80410-R0500","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","R0","80410"
"99140-Q5500","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","Q5","99140"
"14168-0802B","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","08","14168"
"42952-2N050","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","2N","42952"
"80610-AT950","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","AT","80610"
"77990-CV000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai","CV","77990"
"05203-AT220","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","AT","05203"
"79230-F6000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","F6","79230"
"42700-2N000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","2N","42700"
"99120-AO000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","AO","99120"
"99240-F6500","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","F6","99240"
"99240-L3500","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","L3","99240"
"09130-CV000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai","CV","09130"
"80620-L3010","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","L3","80620"
"99240-AT300","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","AT","99240"
"99250-S9600","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","S9","99250"
"79390-H8000","real_hk_unseeded","exists","Unknown","Unknown","","Kia","H8","79390"
"09214-L1100","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai","L1","09214"
"05203-P1430","real_hk_unseeded","exists","Unknown","Unknown","","Kia","P1","05203"
"42952-2D040","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","2D","42952"
"09501-C9100","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","C9","09501"
"09430-2C800","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","2C","09430"
"99140-R0010","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","R0","99140"
"80420-R0500","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","R0","80420"
"99220-P1100","real_hk_unseeded","exists","Unknown","Unknown","","Kia","P1","99220"
"80100-K0600","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","K0","80100"
"79210-H9000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","H9","79210"
"99210-CV000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai","CV","99210"
"05203-DW420","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","DW","05203"
"09501-C9230","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","C9","09501"
"99240-CV510","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai","CV","99240"
"42620-4G601","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","4G","42620"
"77925-T1000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","T1","77925"
"99157-J6000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","J6","99157"
"77523-K0000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","K0","77523"
"77980-AT000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","AT","77980"
"11408-08181","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","08","11408"
"09130-CH000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","CH","09130"
"99220-R0050","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","R0","99220"
"05203-R5220","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","R5","05203"
"99211-H8010","real_hk_unseeded","exists","Unknown","Unknown","","Kia","H8","99211"
"99211-P1010","real_hk_unseeded","exists","Unknown","Unknown","","Kia","P1","99211"
"00144-ADU01","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","AD","00144"
"80420-CV000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai","CV","80420"
"99240-F6010","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","F6","99240"
"99110-P4000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","P4","99110"
"00344-ADU01","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","AD","00344"
"09375-GI700","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","GI","09375"
"09430-C1230","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","C1","09430"
"09127-4D100","real_hk_unseeded","exists","Unknown","Unknown","","Kia","4D","09127"
"77004-CV000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai","CV","77004"
"99130-AO000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","AO","99130"
"99910-R5100","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","R5","99910"
"77111-L2000","real_hk_unseeded","exists","Unknown","Unknown","","Kia","L2","77111"
"99211-J5000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","J5","99211"
"80420-K0000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","K0","80420"
"99246-CV000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai","CV","99246"
"77003-H9100","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","H9","77003"
"99110-P2000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","P2","99110"
"99216-K0500","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","K0","99216"
"99250-CV020","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai","CV","99250"
"15716-17121","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","17","15716"
"05203-M7560","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","M7","05203"
"99150-CV100","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai","CV","99150"
"05203-AT320","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","AT","05203"
"77004-H9100","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","H9","77004"
"09351-C3700","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","C3","09351"
"99810-AO000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","AO","99810"
"99230-F6500","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","F6","99230"
"09200-L1200","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai","L1","09200"
"77915-T1000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","T1","77915"
"80620-P1000","real_hk_unseeded","exists","Unknown","Unknown","","Kia","P1","80620"
"09127-H8000","real_hk_unseeded","exists","Unknown","Unknown","","Kia","H8","09127"
"05203-J5620","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","J5","05203"
"42910-4G500","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","4G","42910"
"79283-H9010","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","H9","79283"
"99145-M6600","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","M6","99145"
"99150-P2110","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","P2","99150"
"99120-AO100","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","AO","99120"
"99150-R0010","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","R0","99150"
"09149-F6900","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","F6","09149"
"99120-S9050","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","S9","99120"
"99220-L2000","real_hk_unseeded","exists","Unknown","Unknown","","Kia","L2","99220"
"80100-Q5600","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","Q5","80100"
"80640-S9000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","S9","80640"
"99910-DW100","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","DW","99910"
"80702-J6000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","J6","80702"
"20920-2GL01","real_hk_unseeded","exists","Unknown","Unknown","","Kia","2G","20920"
"09231-93100","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","93","09231"
"80610-P1050","real_hk_unseeded","exists","Unknown","Unknown","","Kia","P1","80610"
"99220-P2000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","P2","99220"
"42951-4G190","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","4G","42951"
"99216-J5000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","J5","99216"
"99240-P2100","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","P2","99240"
"09110-P2000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","P2","09110"
"17925-04014","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","04","17925"
"77513-K0000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","K0","77513"
"99150-J5000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","J5","99150"
"09171-R0000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","R0","09171"
"79220-D6000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","D6","79220"
"14303-04100","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","04","14303"
"99110-L2100","real_hk_unseeded","exists","Unknown","Unknown","","Kia","L2","99110"
"12493-05169","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","05","12493"
"05203-P1400","real_hk_unseeded","exists","Unknown","Unknown","","Kia","P1","05203"
"99910-CV070","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai","CV","99910"
"99110-J5600","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","J5","99110"
