"OEM","Slice","GroundTruth","ExpectedSystem","ExpectedCategory","GoodTokens","ExpectedMake","Chassis","Prefix5"
"39350-08200","real_hk_seeded","exists","Electrical","MAF Sensor","maf,sensor","Hyundai/Kia","08","39350"
"84633-R5000","real_hk_coarse","exists","Interior","Interior Trim","interior,trim","Hyundai/Kia","R5","84633"
"82655-P2000","real_hk_coarse","exists","Body","Glass / Windshield","glass,windshield","Hyundai/Kia","P2","82655"
"05203-P1430","real_hk_unseeded","exists","Unknown","Unknown","","Kia","P1","05203"
"42952-2N050","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","2N","42952"
"87610-P4051","real_hk_seeded","exists","Body","Exterior Mirror","exterior,mirror","Hyundai/Kia","P4","87610"
"86634-P2010","real_hk_coarse","exists","Body","Mirrors","mirrors","Hyundai/Kia","P2","86634"
"91602-DW350","real_hk_coarse","exists","Electrical","Wiring Harness","wiring,harness","Hyundai/Kia","DW","91602"
"86511-P2010","real_hk_coarse","exists","Body","Mirrors","mirrors","Hyundai/Kia","P2","86511"
"45671-4G137","real_hk_coarse","exists","Transmission","Manual Transmission","manual,transmission","Hyundai/Kia","4G","45671"
"88170-Q5010","real_hk_coarse","exists","Interior","Instrument Panel / Dashboard","instrument,panel,dashboard","Hyundai/Kia","Q5","88170"
"09474-4E100","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","4E","09474"
